,CI_NAME,EQUIPTYPE
1906,SPBU06,BTS
1907,SPCE05,BTS
1996,SPIA07,BTS
1997,SPIB39,BTS
1998,SPIB52,BTS
1999,SPMR14,BTS
2000,SPPT09,BTS
2001,RBTO02,BTS
2002,RBTO03,BTS
2003,RBTO05,BTS
2004,RBTO06,BTS
2005,RBTO07,BTS
2006,RCCE01,BTS
2007,RCLO01,BTS
2008,RCLO02,BTS
2009,RCLO03,BTS
2010,RCLO04,BTS
2011,RDCE01,BTS
2053,RDFL01,BTS
2054,RDFL02,BTS
2055,RDIR01,BTS
2056,RECE01,BTS
2057,RESE01,BTS
2058,RESE02,BTS
2059,RESE03,BTS
2060,RESE04,BTS
2061,RESE05,BTS
2062,RESE06,BTS
2063,RESE07,BTS
2064,RESE08,BTS
2065,RGRR01,BTS
2066,RGRR02,BTS
2067,RGRR03,BTS
2068,CMAC06,BTS
2069,VGGD01,BTS
2070,RGRR04,BTS
2071,RGRR05,BTS
2072,RGRR06,BTS
2073,RGRR07,BTS
2074,RGRR08,BTS
2075,RGRR09,BTS
2076,RGRR20,BTS
2077,RICE01,BTS
2078,RIPR01,BTS
2079,RIPR02,BTS
2080,RIPR03,BTS
2081,RIPR06,BTS
2082,MUCA00,BTS
2083,MUCE00,BTS
2084,MUCT01,BTS
2085,MUES01,BTS
2086,MUGU00,BTS
2087,MUJI01,BTS
2088,MUMU00,BTS
2089,MURD03,BTS
2090,MURD04,BTS
2091,MURD05,BTS
2092,MURD10,BTS
2093,MURD13,BTS
2094,MURD14,BTS
2095,MURD15,BTS
2096,MUVS01,BTS
2097,MVCT01,BTS
2098,MVMV00,BTS
2099,MVMV01,BTS
2102,MVPA06,BTS
2105,MWCT01,BTS
2106,MWMW00,BTS
2119,MXCT01,BTS
2120,MXMX00,BTS
2121,MXMX01,BTS
2122,MYCT01,BTS
2123,MYMY00,BTS
2124,MYMY02,BTS
2125,MYRD01,BTS
2126,MZCT01,BTS
2127,MZMZ00,BTS
2128,NAAD01,BTS
2129,NAAD02,BTS
2130,NAAD03,BTS
2131,NACT01,BTS
2132,NANA00,BTS
